ticker,article_count,date_first,date_last,sample_headline,ambiguity_note
PFE,46,2018-03-22,2020-07-09,Back to the drawing board for Reckitt after dropping Pfizer bid,
MA,44,2018-06-28,2020-07-02,"Visa, Mastercard close to settling issues over card-swipe fees: WSJ",
IBM,42,2018-04-17,2020-07-14,"IBM first-quarter margins miss estimates, shares fall",
KR,41,2018-03-23,2020-07-15,'No truth' in report of possible Target-Kroger merger: source,
UAL,41,2019-07-12,2020-06-05,Boeing 737 MAX to remain off United Airlines' schedule until November 3,
SPOT,40,2018-03-20,2020-07-14,Spotify CEO eligible to sell up to $2 billion stake in public listing,
CPB,38,2018-04-05,2020-03-04,Campbell Soup gives COO Mignini more control over core units,
CVS,37,2018-04-23,2020-07-16,Glenview's Robbins says talk of Amazon's entering pharma is overblown,
KO,36,2018-04-01,2020-07-01,"As corporate-government tax pacts falter, Coca-Cola challenges huge U.S. bill",
KHC,34,2018-03-27,2020-04-22,"Nestle, other food groups likely suitors for GSK's Horlicks: sources",
MRK,33,2018-04-09,2020-07-09,Merck's Keytruda helps lung cancer patients live longer in trial,
NVDA,32,2018-05-11,2020-07-08,Crypto concerns push Nvidia shares lower,
AVGO,32,2018-03-23,2020-06-04,Qualcomm re-elects board of directors with tepid support,
EBAY,30,2018-03-20,2020-07-16,"Exclusive: On Amazon, a quarter of merchants' sales are cross-border",
CMG,29,2018-03-22,2020-07-15,Chipotle wins dismissal of investor lawsuit over foodborne illness,
PG,29,2018-04-03,2020-07-02,Pfizer in talks with P&G for consumer health unit sale: CNBC,
RTX,28,2018-03-28,2020-03-26,Poland signs $4.75 billion deal for U.S. Patriot missile system facing Russia,
COP,28,2018-04-26,2020-06-10,Conoco sues to enforce $2 billion award that Venezuela scorns,
BMY,28,2018-07-27,2020-03-25,"Merck profit beats, but Keytruda sales fail to impress",
CAT,28,2018-05-23,2020-06-11,Why Caterpillar can't keep up with a boom in demand,
PEP,28,2018-04-26,2020-07-13,"Pepsi tops estimates, promises more investments in North America",
AIG,26,2018-03-26,2020-05-12,Supreme Court rejects AIG ex-CEO Greenberg's bailout challenge,
GILD,26,2018-12-10,2020-07-10,Gilead Sciences snares Roche veteran O'Day as CEO,
ORCL,26,2018-03-27,2020-03-12,Appeals court revives Oracle's copyright claim against Google,
TSN,25,2018-07-30,2020-06-10,Meat processor Tyson Foods cuts profit forecast on mounting tariff pressures,
AXP,24,2018-04-18,2020-06-13,AmEx profit tops estimates as record splurge on rewards woos customers,
